Collection,Field,Type,Required,Description,Example,Status
users,_id,ObjectId,TRUE,Identifiant unique de l'utilisateur,507f1f77bcf86cd799439011,EXISTING
users,name,String,TRUE,Nom complet de l'utilisateur,"Marie Dubois",EXISTING
users,email,String,TRUE,Email unique de l'utilisateur,marie.dubois@taphair.com,EXISTING
users,password,String,TRUE,Mot de passe hashé,hashedPassword123,EXISTING
users,role,String,TRUE,Rôle de l'utilisateur,"user|coiffeur|admin",EXISTING
users,photo,String,FALSE,URL de la photo de profil,/uploads/profile.jpg,EXISTING
users,bio,String,FALSE,Biographie de l'utilisateur,"Coiffeuse professionnelle avec 8 ans d'expérience",EXISTING
users,phone,String,FALSE,Numéro de téléphone,+33123456789,EXISTING
users,address.street,String,FALSE,Rue de l'adresse principale,15 Rue de la Paix,EXISTING
users,address.city,String,FALSE,Ville de l'adresse principale,Paris,EXISTING
users,address.postalCode,String,FALSE,Code postal,75001,EXISTING
users,address.coordinates.lat,Number,FALSE,Latitude GPS,48.8566,EXISTING
users,address.coordinates.lng,Number,FALSE,Longitude GPS,2.3522,EXISTING
users,addresses.home.street,String,FALSE,Rue de l'adresse domicile,10 Avenue des Champs,EXISTING
users,addresses.home.city,String,FALSE,Ville de l'adresse domicile,Paris,EXISTING
users,addresses.home.coordinates.lat,Number,FALSE,Latitude domicile,48.8566,EXISTING
users,addresses.home.coordinates.lng,Number,FALSE,Longitude domicile,2.3522,EXISTING
users,addresses.salon.street,String,FALSE,Rue de l'adresse salon,25 Boulevard Saint-Germain,EXISTING
users,addresses.salon.city,String,FALSE,Ville de l'adresse salon,Paris,EXISTING
users,addresses.salon.coordinates.lat,Number,FALSE,Latitude salon,48.8566,EXISTING
users,addresses.salon.coordinates.lng,Number,FALSE,Longitude salon,2.3522,EXISTING
users,siren,String,FALSE,Numéro SIREN du coiffeur,123456789,EXISTING
users,sirenStatus,String,FALSE,Statut de vérification SIREN,"pending|verified|none",EXISTING
users,experience,Number,FALSE,Années d'expérience,8,EXISTING
users,formation,String,FALSE,Formation professionnelle,"CAP Coiffure, BP",EXISTING
users,specialities,[String],FALSE,Spécialités actuelles (à migrer),["Coupe moderne","Coloration"],TO_MIGRATE
users,specialties,[Object],FALSE,Nouvelles spécialités structurées,[{specialtyId: ObjectId, expertiseLevel: 3}],NEW
users,rating,Number,FALSE,Note moyenne du coiffeur,4.5,EXISTING
users,totalRatings,Number,FALSE,Nombre total d'avis,25,EXISTING
users,workingMode,[String],FALSE,Mode de travail,"[salon,domicile]",EXISTING
users,travelRadius,Number,FALSE,Rayon de déplacement en km,15,EXISTING
users,gallery,[Object],FALSE,Galerie de photos,[{url: String, description: String}],EXISTING
users,likes,Number,FALSE,Nombre de likes reçus,150,EXISTING
users,favorites,[ObjectId],FALSE,Coiffeurs favoris,[ObjectId],EXISTING
users,createdAt,Date,TRUE,Date de création,2025-01-20T10:00:00Z,EXISTING
users,updatedAt,Date,TRUE,Date de mise à jour,2025-01-20T15:30:00Z,EXISTING
specialties,_id,ObjectId,TRUE,Identifiant unique de la spécialité,507f1f77bcf86cd799439012,NEW
specialties,name,String,TRUE,Nom de la spécialité,Coupe moderne,NEW
specialties,category,String,TRUE,Catégorie de la spécialité,"coupe|coloration|soin|extension|autre",NEW
specialties,aliases,[String],FALSE,Alias et synonymes,["coupe","coiffure moderne"],NEW
specialties,description,String,FALSE,Description détaillée,"Coupe de cheveux moderne et tendance",NEW
